ticker,company_name,sector,exchange
MMM,3M Company,Industrials,NYQ
AOS,A. O. Smith Corporation,Industrials,NYQ
ABT,Abbott Laboratories,Healthcare,NYQ
ABBV,AbbVie Inc.,Healthcare,NYQ
ACN,Accenture plc,Technology,NYQ
ADBE,Adobe Inc.,Technology,NMS
AMD,"Advanced Micro Devices, Inc.",Technology,NMS
AES,The AES Corporation,Utilities,NYQ
AFL,Aflac Incorporated,Financial Services,NYQ
A,"Agilent Technologies, Inc.",Healthcare,NYQ
APD,"Air Products and Chemicals, Inc.",Basic Materials,NYQ
ABNB,"Airbnb, Inc.",Consumer Cyclical,NMS
AKAM,"Akamai Technologies, Inc.",Technology,NMS
ALB,Albemarle Corporation,Basic Materials,NYQ
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,NYQ
ALGN,"Align Technology, Inc.",Healthcare,NMS
ALLE,Allegion plc,Industrials,NYQ
LNT,Alliant Energy Corporation,Utilities,NMS
ALL,The Allstate Corporation,Financial Services,NYQ
GOOGL,Alphabet Inc.,Communication Services,NMS
GOOG,Alphabet Inc.,Communication Services,NMS
MO,"Altria Group, Inc.",Consumer Defensive,NYQ
AMZN,"Amazon.com, Inc.",Consumer Cyclical,NMS
AMCR,Amcor plc,Consumer Cyclical,NYQ
AEE,Ameren Corporation,Utilities,NYQ
AEP,"American Electric Power Company, Inc.",Utilities,NMS
AXP,American Express Company,Financial Services,NYQ
AIG,"American International Group, Inc.",Financial Services,NYQ
AMT,American Tower Corporation,Real Estate,NYQ
AWK,"American Water Works Company, Inc.",Utilities,NYQ
AMP,"Ameriprise Financial, Inc.",Financial Services,NYQ
AME,"AMETEK, Inc.",Industrials,NYQ
AMGN,Amgen Inc.,Healthcare,NMS
APH,Amphenol Corporation,Technology,NYQ
ADI,"Analog Devices, Inc.",Technology,NMS
ANSS,"ANSYS, Inc.",Technology,NMS
AON,Aon plc,Financial Services,NYQ
APA,APA Corporation,Energy,NMS
APO,"Apollo Global Management, Inc.",Financial Services,NYQ
AAPL,Apple Inc.,Technology,NMS
AMAT,"Applied Materials, Inc.",Technology,NMS
APTV,Aptiv PLC,Consumer Cyclical,NYQ
ACGL,Arch Capital Group Ltd.,Financial Services,NMS
ADM,Archer-Daniels-Midland Company,Consumer Defensive,NYQ
ANET,Arista Networks Inc,Technology,NYQ
AJG,Arthur J. Gallagher & Co.,Financial Services,NYQ
AIZ,"Assurant, Inc.",Financial Services,NYQ
T,AT&T Inc.,Communication Services,NYQ
ATO,Atmos Energy Corporation,Utilities,NYQ
ADSK,"Autodesk, Inc.",Technology,NMS
ADP,"Automatic Data Processing, Inc.",Technology,NMS
AZO,"AutoZone, Inc.",Consumer Cyclical,NYQ
AVB,"AvalonBay Communities, Inc.",Real Estate,NYQ
AVY,Avery Dennison Corporation,Consumer Cyclical,NYQ
AXON,"Axon Enterprise, Inc.",Industrials,NMS
BKR,Baker Hughes Company,Energy,NMS
BALL,Ball Corporation,Consumer Cyclical,NYQ
BAC,Bank of America Corporation,Financial Services,NYQ
BAX,Baxter International Inc.,Healthcare,NYQ
BDX,"Becton, Dickinson and Company",Healthcare,NYQ
BRK.B,,,
BBY,"Best Buy Co., Inc.",Consumer Cyclical,NYQ
TECH,Bio-Techne Corporation,Healthcare,NMS
BIIB,Biogen Inc.,Healthcare,NMS
BLK,"BlackRock, Inc.",Financial Services,NYQ
BX,Blackstone Inc.,Financial Services,NYQ
BK,The Bank of New York Mellon Corporation,Financial Services,NYQ
BA,The Boeing Company,Industrials,NYQ
BKNG,Booking Holdings Inc.,Consumer Cyclical,NMS
BSX,Boston Scientific Corporation,Healthcare,NYQ
BMY,Bristol-Myers Squibb Company,Healthcare,NYQ
AVGO,Broadcom Inc.,Technology,NMS
BR,"Broadridge Financial Solutions, Inc.",Technology,NYQ
BRO,"Brown & Brown, Inc.",Financial Services,NYQ
BF.B,,,YHD
BLDR,"Builders FirstSource, Inc.",Industrials,NYQ
BG,Bunge Global SA,Consumer Defensive,NYQ
BXP,"BXP, Inc.",Real Estate,NYQ
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,NMS
CDNS,"Cadence Design Systems, Inc.",Technology,NMS
CZR,"Caesars Entertainment, Inc.",Consumer Cyclical,NMS
CPT,Camden Property Trust,Real Estate,NYQ
CPB,The Campbell's Company,Consumer Defensive,NMS
COF,Capital One Financial Corporation,Financial Services,NYQ
CAH,"Cardinal Health, Inc.",Healthcare,NYQ
KMX,"CarMax, Inc.",Consumer Cyclical,NYQ
CCL,Carnival Corporation & plc,Consumer Cyclical,NYQ
CARR,Carrier Global Corporation,Industrials,NYQ
CAT,Caterpillar Inc.,Industrials,NYQ
CBOE,"Cboe Global Markets, Inc.",Financial Services,BTS
CBRE,"CBRE Group, Inc.",Real Estate,NYQ
CDW,CDW Corporation,Technology,NMS
COR,"Cencora, Inc.",Healthcare,NYQ
CNC,Centene Corporation,Healthcare,NYQ
CNP,"CenterPoint Energy, Inc.",Utilities,NYQ
CF,"CF Industries Holdings, Inc.",Basic Materials,NYQ
CRL,"Charles River Laboratories International, Inc.",Healthcare,NYQ
SCHW,The Charles Schwab Corporation,Financial Services,NYQ
CHTR,"Charter Communications, Inc.",Communication Services,NMS
CVX,Chevron Corporation,Energy,NYQ
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,NYQ
CB,Chubb Limited,Financial Services,NYQ
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,NYQ
CI,The Cigna Group,Healthcare,NYQ
CINF,Cincinnati Financial Corporation,Financial Services,NMS
CTAS,Cintas Corporation,Industrials,NMS
CSCO,"Cisco Systems, Inc.",Technology,NMS
C,Citigroup Inc.,Financial Services,NYQ
CFG,"Citizens Financial Group, Inc.",Financial Services,NYQ
CLX,The Clorox Company,Consumer Defensive,NYQ
CME,CME Group Inc.,Financial Services,NMS
CMS,CMS Energy Corporation,Utilities,NYQ
KO,The Coca-Cola Company,Consumer Defensive,NYQ
CTSH,Cognizant Technology Solutions Corporation,Technology,NMS
CL,Colgate-Palmolive Company,Consumer Defensive,NYQ
CMCSA,Comcast Corporation,Communication Services,NMS
CAG,"Conagra Brands, Inc.",Consumer Defensive,NYQ
COP,ConocoPhillips,Energy,NYQ
ED,"Consolidated Edison, Inc.",Utilities,NYQ
STZ,"Constellation Brands, Inc.",Consumer Defensive,NYQ
CEG,Constellation Energy Corporation,Utilities,NMS
COO,"The Cooper Companies, Inc.",Healthcare,NMS
CPRT,"Copart, Inc.",Industrials,NMS
GLW,Corning Incorporated,Technology,NYQ
CPAY,"Corpay, Inc.",Technology,NYQ
CTVA,"Corteva, Inc.",Basic Materials,NYQ
CSGP,"CoStar Group, Inc.",Real Estate,NMS
COST,Costco Wholesale Corporation,Consumer Defensive,NMS
CTRA,Coterra Energy Inc.,Energy,NYQ
CRWD,"CrowdStrike Holdings, Inc.",Technology,NMS
CCI,Crown Castle Inc.,Real Estate,NYQ
CSX,CSX Corporation,Industrials,NMS
CMI,Cummins Inc.,Industrials,NYQ
CVS,CVS Health Corporation,Healthcare,NYQ
DHR,Danaher Corporation,Healthcare,NYQ
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,NYQ
DVA,DaVita Inc.,Healthcare,NYQ
DAY,Dayforce Inc,Technology,NYQ
DECK,Deckers Outdoor Corporation,Consumer Cyclical,NYQ
DE,Deere & Company,Industrials,NYQ
DELL,Dell Technologies Inc.,Technology,NYQ
DAL,"Delta Air Lines, Inc.",Industrials,NYQ
DVN,Devon Energy Corporation,Energy,NYQ
DXCM,"DexCom, Inc.",Healthcare,NMS
FANG,"Diamondback Energy, Inc.",Energy,NMS
DLR,"Digital Realty Trust, Inc.",Real Estate,NYQ
DFS,Discover Financial Services,Financial Services,NYQ
DG,Dollar General Corporation,Consumer Defensive,NYQ
