"1","3M Company","MMM","Industrials","NYQ"
"2","A. O. Smith Corporation","AOS","Industrials","NYQ"
"3","Abbott Laboratories","ABT","Healthcare","NYQ"
"4","AbbVie Inc.","ABBV","Healthcare","NYQ"
"5","Accenture plc","ACN","Technology","NYQ"
"6","Adobe Inc.","ADBE","Technology","NMS"
"7","Advanced Micro Devices, Inc.","AMD","Technology","NMS"
"8","The AES Corporation","AES","Utilities","NYQ"
"9","Aflac Incorporated","AFL","Financial Services","NYQ"
"10","Agilent Technologies, Inc.","A","Healthcare","NYQ"
"11","Air Products and Chemicals, Inc.","APD","Basic Materials","NYQ"
"12","Airbnb, Inc.","ABNB","Consumer Cyclical","NMS"
"13","Akamai Technologies, Inc.","AKAM","Technology","NMS"
"14","Albemarle Corporation","ALB","Basic Materials","NYQ"
"15","Alexandria Real Estate Equities, Inc.","ARE","Real Estate","NYQ"
"16","Align Technology, Inc.","ALGN","Healthcare","NMS"
"17","Allegion plc","ALLE","Industrials","NYQ"
"18","Alliant Energy Corporation","LNT","Utilities","NMS"
"19","The Allstate Corporation","ALL","Financial Services","NYQ"
"20","Alphabet Inc.","GOOGL","Communication Services","NMS"
"21","Alphabet Inc.","GOOG","Communication Services","NMS"
"22","Altria Group, Inc.","MO","Consumer Defensive","NYQ"
"23","Amazon.com, Inc.","AMZN","Consumer Cyclical","NMS"
"24","Amcor plc","AMCR","Consumer Cyclical","NYQ"
"25","Ameren Corporation","AEE","Utilities","NYQ"
"26","American Electric Power Company, Inc.","AEP","Utilities","NMS"
"27","American Express Company","AXP","Financial Services","NYQ"
"28","American International Group, Inc.","AIG","Financial Services","NYQ"
"29","American Tower Corporation","AMT","Real Estate","NYQ"
"30","American Water Works Company, Inc.","AWK","Utilities","NYQ"
"31","Ameriprise Financial, Inc.","AMP","Financial Services","NYQ"
"32","AMETEK, Inc.","AME","Industrials","NYQ"
"33","Amgen Inc.","AMGN","Healthcare","NMS"
"34","Amphenol Corporation","APH","Technology","NYQ"
"35","Analog Devices, Inc.","ADI","Technology","NMS"
"36","ANSYS, Inc.","ANSS","Technology","NMS"
"37","Aon plc","AON","Financial Services","NYQ"
"38","APA Corporation","APA","Energy","NMS"
"39","Apollo Global Management, Inc.","APO","Financial Services","NYQ"
"40","Apple Inc.","AAPL","Technology","NMS"
"41","Applied Materials, Inc.","AMAT","Technology","NMS"
"42","Aptiv PLC","APTV","Consumer Cyclical","NYQ"
"43","Arch Capital Group Ltd.","ACGL","Financial Services","NMS"
"44","Archer-Daniels-Midland Company","ADM","Consumer Defensive","NYQ"
"45","Arista Networks Inc","ANET","Technology","NYQ"
"46","Arthur J. Gallagher & Co.","AJG","Financial Services","NYQ"
"47","Assurant, Inc.","AIZ","Financial Services","NYQ"
"48","AT&T Inc.","T","Communication Services","NYQ"
"49","Atmos Energy Corporation","ATO","Utilities","NYQ"
"50","Autodesk, Inc.","ADSK","Technology","NMS"
"51","Automatic Data Processing, Inc.","ADP","Technology","NMS"
"52","AutoZone, Inc.","AZO","Consumer Cyclical","NYQ"
"53","AvalonBay Communities, Inc.","AVB","Real Estate","NYQ"
"54","Avery Dennison Corporation","AVY","Consumer Cyclical","NYQ"
"55","Axon Enterprise, Inc.","AXON","Industrials","NMS"
"56","Baker Hughes Company","BKR","Energy","NMS"
"57","Ball Corporation","BALL","Consumer Cyclical","NYQ"
"58","Bank of America Corporation","BAC","Financial Services","NYQ"
"59","Baxter International Inc.","BAX","Healthcare","NYQ"
"60","Becton, Dickinson and Company","BDX","Healthcare","NYQ"
"61","","BRK.B","",""
"62","Best Buy Co., Inc.","BBY","Consumer Cyclical","NYQ"
"63","Bio-Techne Corporation","TECH","Healthcare","NMS"
"64","Biogen Inc.","BIIB","Healthcare","NMS"
"65","BlackRock, Inc.","BLK","Financial Services","NYQ"
"66","Blackstone Inc.","BX","Financial Services","NYQ"
"67","The Bank of New York Mellon Corporation","BK","Financial Services","NYQ"
"68","The Boeing Company","BA","Industrials","NYQ"
"69","Booking Holdings Inc.","BKNG","Consumer Cyclical","NMS"
"70","Boston Scientific Corporation","BSX","Healthcare","NYQ"
"71","Bristol-Myers Squibb Company","BMY","Healthcare","NYQ"
"72","Broadcom Inc.","AVGO","Technology","NMS"
"73","Broadridge Financial Solutions, Inc.","BR","Technology","NYQ"
"74","Brown & Brown, Inc.","BRO","Financial Services","NYQ"
"75","","BF.B","","YHD"
"76","Builders FirstSource, Inc.","BLDR","Industrials","NYQ"
"77","Bunge Global SA","BG","Consumer Defensive","NYQ"
"78","BXP, Inc.","BXP","Real Estate","NYQ"
"79","C.H. Robinson Worldwide, Inc.","CHRW","Industrials","NMS"
"80","Cadence Design Systems, Inc.","CDNS","Technology","NMS"
"81","Caesars Entertainment, Inc.","CZR","Consumer Cyclical","NMS"
"82","Camden Property Trust","CPT","Real Estate","NYQ"
"83","The Campbell's Company","CPB","Consumer Defensive","NMS"
"84","Capital One Financial Corporation","COF","Financial Services","NYQ"
"85","Cardinal Health, Inc.","CAH","Healthcare","NYQ"
"86","CarMax, Inc.","KMX","Consumer Cyclical","NYQ"
"87","Carnival Corporation & plc","CCL","Consumer Cyclical","NYQ"
"88","Carrier Global Corporation","CARR","Industrials","NYQ"
"89","Caterpillar Inc.","CAT","Industrials","NYQ"
"90","Cboe Global Markets, Inc.","CBOE","Financial Services","BTS"
"91","CBRE Group, Inc.","CBRE","Real Estate","NYQ"
"92","CDW Corporation","CDW","Technology","NMS"
"93","Cencora, Inc.","COR","Healthcare","NYQ"
"94","Centene Corporation","CNC","Healthcare","NYQ"
"95","CenterPoint Energy, Inc.","CNP","Utilities","NYQ"
"96","CF Industries Holdings, Inc.","CF","Basic Materials","NYQ"
"97","Charles River Laboratories International, Inc.","CRL","Healthcare","NYQ"
"98","The Charles Schwab Corporation","SCHW","Financial Services","NYQ"
"99","Charter Communications, Inc.","CHTR","Communication Services","NMS"
"100","Chevron Corporation","CVX","Energy","NYQ"
"101","Chipotle Mexican Grill, Inc.","CMG","Consumer Cyclical","NYQ"
"102","Chubb Limited","CB","Financial Services","NYQ"
"103","Church & Dwight Co., Inc.","CHD","Consumer Defensive","NYQ"
"104","The Cigna Group","CI","Healthcare","NYQ"
"105","Cincinnati Financial Corporation","CINF","Financial Services","NMS"
"106","Cintas Corporation","CTAS","Industrials","NMS"
"107","Cisco Systems, Inc.","CSCO","Technology","NMS"
"108","Citigroup Inc.","C","Financial Services","NYQ"
"109","Citizens Financial Group, Inc.","CFG","Financial Services","NYQ"
"110","The Clorox Company","CLX","Consumer Defensive","NYQ"
"111","CME Group Inc.","CME","Financial Services","NMS"
"112","CMS Energy Corporation","CMS","Utilities","NYQ"
"113","The Coca-Cola Company","KO","Consumer Defensive","NYQ"
